MS-DRG,FY09 Final Rule Post-Acute DRG,FY09 Final Rule Special Pay DRG,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS
156,No,No,03,MED,"Other ear, nose, mouth & throat diagnoses w/o CC/MCC",0.6312,2.5,3.2
157,No,No,03,MED,Dental & oral diseases w MCC,1.4746,4.6,6.6
158,No,No,03,MED,Dental & oral diseases w CC,0.8615,3.4,4.5
159,No,No,03,MED,Dental & oral diseases w/o CC/MCC,0.5966,2.4,3.0
163,Yes,No,04,SURG,Major chest procedures w MCC,4.9978,12.2,15.0
164,Yes,No,04,SURG,Major chest procedures w CC,2.5953,6.7,8.1
165,Yes,No,04,SURG,Major chest procedures w/o CC/MCC,1.8036,4.3,5.1
166,Yes,No,04,SURG,Other resp system O.R. procedures w MCC,3.6912,10.0,12.9
167,Yes,No,04,SURG,Other resp system O.R. procedures w CC,2.0264,6.3,8.0
168,Yes,No,04,SURG,Other resp system O.R. procedures w/o CC/MCC,1.3433,3.9,5.2
175,Yes,No,04,MED,Pulmonary embolism w MCC,1.5796,6.0,7.3
176,Yes,No,04,MED,Pulmonary embolism w/o MCC,1.0713,4.6,5.3
177,Yes,No,04,MED,Respiratory infections & inflammations w MCC,2.0393,7.2,9.1
178,Yes,No,04,MED,Respiratory infections & inflammations w CC,1.4983,6.0,7.4
179,Yes,No,04,MED,Respiratory infections & inflammations w/o CC/MCC,1.0419,4.5,5.6
180,No,No,04,MED,Respiratory neoplasms w MCC,1.6950,6.0,7.9
181,No,No,04,MED,Respiratory neoplasms w CC,1.2316,4.5,5.9
182,No,No,04,MED,Respiratory neoplasms w/o CC/MCC,0.8736,3.2,4.2
183,No,No,04,MED,Major chest trauma w MCC,1.5346,5.8,7.2
184,No,No,04,MED,Major chest trauma w CC,0.9458,3.8,4.6
185,No,No,04,MED,Major chest trauma w/o CC/MCC,0.6811,2.9,3.4
186,Yes,No,04,MED,Pleural effusion w MCC,1.6252,5.7,7.4
187,Yes,No,04,MED,Pleural effusion w CC,1.0942,4.1,5.3
188,Yes,No,04,MED,Pleural effusion w/o CC/MCC,0.8133,3.1,4.0
189,No,No,04,MED,Pulmonary edema & respiratory failure,1.3488,4.8,6.1
190,Yes,No,04,MED,Chronic obstructive pulmonary disease w MCC,1.3030,5.0,6.3
191,Yes,No,04,MED,Chronic obstructive pulmonary disease w CC,0.9757,4.1,5.0
192,Yes,No,04,MED,Chronic obstructive pulmonary disease w/o CC/MCC,0.7254,3.3,4.0
193,Yes,No,04,MED,Simple pneumonia & pleurisy w MCC,1.4327,5.4,6.7
194,Yes,No,04,MED,Simple pneumonia & pleurisy w CC,1.0056,4.4,5.3
195,Yes,No,04,MED,Simple pneumonia & pleurisy w/o CC/MCC,0.7316,3.5,4.1
196,Yes,No,04,MED,Interstitial lung disease w MCC,1.6022,5.8,7.3
197,Yes,No,04,MED,Interstitial lung disease w CC,1.0992,4.4,5.4
198,Yes,No,04,MED,Interstitial lung disease w/o CC/MCC,0.8198,3.3,4.1
199,No,No,04,MED,Pneumothorax w MCC,1.7401,6.4,8.3
200,No,No,04,MED,Pneumothorax w CC,1.0107,3.9,5.1
201,No,No,04,MED,Pneumothorax w/o CC/MCC,0.7403,3.1,4.1
202,No,No,04,MED,Bronchitis & asthma w CC/MCC,0.8157,3.5,4.3
203,No,No,04,MED,Bronchitis & asthma w/o CC/MCC,0.5956,2.8,3.4
204,No,No,04,MED,Respiratory signs & symptoms,0.6548,2.2,2.9
205,Yes,No,04,MED,Other respiratory system diagnoses w MCC,1.2363,4.0,5.5
206,Yes,No,04,MED,Other respiratory system diagnoses w/o MCC,0.7289,2.7,3.4
207,Yes,No,04,MED,Respiratory system diagnosis w ventilator support 96+ hours,5.1055,12.8,15.1
208,No,No,04,MED,Respiratory system diagnosis w ventilator support <96 hours,2.1801,5.2,7.2
215,No,No,05,SURG,Other heart assist system implant,12.2516,7.6,14.0
216,Yes,No,05,SURG,Cardiac valve & oth maj cardiothoracic proc w card cath w MCC,10.0943,15.7,18.4
217,Yes,No,05,SURG,Cardiac valve & oth maj cardiothoracic proc w card cath w CC,6.9900,10.9,12.3
218,Yes,No,05,SURG,Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC,5.4211,8.3,9.1
219,Yes,Yes,05,SURG,Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC,8.0329,11.4,14.0
220,Yes,Yes,05,SURG,Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC,5.2799,7.6,8.6
221,Yes,Yes,05,SURG,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC,4.3869,6.0,6.4
222,No,No,05,SURG,Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC,8.6466,10.7,13.1
223,No,No,05,SURG,Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC,6.2865,4.6,6.3
224,No,No,05,SURG,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC,7.9521,9.2,11.4
225,No,No,05,SURG,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC,5.9006,4.5,5.6
226,No,No,05,SURG,Cardiac defibrillator implant w/o cardiac cath w MCC,6.7117,6.2,9.3
227,No,No,05,SURG,Cardiac defibrillator implant w/o cardiac cath w/o MCC,4.9961,1.8,2.8
228,Yes,No,05,SURG,Other cardiothoracic procedures w MCC,7.7863,12.1,14.7
229,Yes,No,05,SURG,Other cardiothoracic procedures w CC,5.0213,7.9,9.1
230,Yes,No,05,SURG,Other cardiothoracic procedures w/o CC/MCC,4.0573,5.6,6.5
231,No,No,05,SURG,Coronary bypass w PTCA w MCC,7.6438,11.2,13.4
232,No,No,05,SURG,Coronary bypass w PTCA w/o MCC,5.5291,8.2,9.2
233,Yes,No,05,SURG,Coronary bypass w cardiac cath w MCC,7.0144,12.4,14.2
234,Yes,No,05,SURG,Coronary bypass w cardiac cath w/o MCC,4.6075,8.3,8.9
235,Yes,No,05,SURG,Coronary bypass w/o cardiac cath w MCC,5.6712,9.5,11.2
236,Yes,No,05,SURG,Coronary bypass w/o cardiac cath w/o MCC,3.5945,6.1,6.6
237,No,No,05,SURG,Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair,5.0741,7.5,10.8
238,No,No,05,SURG,Major cardiovasc procedures w/o MCC,2.8874,3.2,4.6
239,Yes,No,05,SURG,Amputation for circ sys disorders exc upper limb & toe w MCC,4.5044,12.0,15.4
240,Yes,No,05,SURG,Amputation for circ sys disorders exc upper limb & toe w CC,2.6674,8.3,10.4
241,Yes,No,05,SURG,Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC,1.5722,5.6,6.8
242,Yes,No,05,SURG,Permanent cardiac pacemaker implant w MCC,3.7029,6.7,8.8
243,Yes,No,05,SURG,Permanent cardiac pacemaker implant w CC,2.5887,3.8,5.1
244,Yes,No,05,SURG,Permanent cardiac pacemaker implant w/o CC/MCC,2.0059,2.2,2.9
245,No,No,05,SURG,AICD generator procedures,3.9842,2.1,3.2
246,No,No,05,SURG,Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents,3.1468,3.6,5.3
247,No,No,05,SURG,Perc cardiovasc proc w drug-eluting stent w/o MCC,1.9127,1.7,2.2
248,No,No,05,SURG,Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents,2.8046,4.2,6.0
249,No,No,05,SURG,Perc cardiovasc proc w non-drug-eluting stent w/o MCC,1.6395,1.9,2.5
250,No,No,05,SURG,Perc cardiovasc proc w/o coronary artery stent w MCC,2.9915,5.4,7.8
251,No,No,05,SURG,Perc cardiovasc proc w/o coronary artery stent w/o MCC,1.6038,2.1,2.8
252,No,No,05,SURG,Other vascular procedures w MCC,2.9550,5.5,8.6
253,No,No,05,SURG,Other vascular procedures w CC,2.2545,4.1,6.0
254,No,No,05,SURG,Other vascular procedures w/o CC/MCC,1.5426,2.0,2.7
255,Yes,No,05,SURG,Upper limb & toe amputation for circ system disorders w MCC,2.4110,7.1,9.7
256,Yes,No,05,SURG,Upper limb & toe amputation for circ system disorders w CC,1.5920,5.8,7.5
257,Yes,No,05,SURG,Upper limb & toe amputation for circ system disorders w/o CC/MCC,1.0257,3.7,4.9
258,No,No,05,SURG,Cardiac pacemaker device replacement w MCC,2.8325,5.4,7.4
259,No,No,05,SURG,Cardiac pacemaker device replacement w/o MCC,1.6899,2.0,2.8
260,No,No,05,SURG,Cardiac pacemaker revision except device replacement w MCC,3.4101,8.1,11.2
261,No,No,05,SURG,Cardiac pacemaker revision except device replacement w CC,1.4380,3.0,4.2
262,No,No,05,SURG,Cardiac pacemaker revision except device replacement w/o CC/MCC,1.0152,2.0,2.6
263,No,No,05,SURG,Vein ligation & stripping,1.5415,3.4,5.4
264,Yes,No,05,SURG,Other circulatory system O.R. procedures,2.5329,5.8,8.9
265,No,No,05,SURG,AICD lead procedures,2.2095,2.2,3.5
280,Yes,No,05,MED,"Acute myocardial infarction, discharged alive w MCC",1.9404,5.8,7.3
281,Yes,No,05,MED,"Acute myocardial infarction, discharged alive w CC",1.2213,3.9,4.8
282,Yes,No,05,MED,"Acute myocardial infarction, discharged alive w/o CC/MCC",0.8696,2.6,3.2
283,No,No,05,MED,"Acute myocardial infarction, expired w MCC",1.6925,3.3,5.4
284,No,No,05,MED,"Acute myocardial infarction, expired w CC",0.9111,2.2,3.2
285,No,No,05,MED,"Acute myocardial infarction, expired w/o CC/MCC",0.6053,1.7,2.2
286,No,No,05,MED,"Circulatory disorders except AMI, w card cath w MCC",1.9769,5.2,6.9
287,No,No,05,MED,"Circulatory disorders except AMI, w card cath w/o MCC",1.0252,2.4,3.1
288,Yes,No,05,MED,Acute & subacute endocarditis w MCC,3.0839,9.2,11.8
289,Yes,No,05,MED,Acute & subacute endocarditis w CC,1.9588,7.0,8.7
290,Yes,No,05,MED,Acute & subacute endocarditis w/o CC/MCC,1.4465,5.1,6.5
291,Yes,No,05,MED,Heart failure & shock w MCC,1.4601,5.0,6.5
292,Yes,No,05,MED,Heart failure & shock w CC,1.0069,4.1,5.0
293,Yes,No,05,MED,Heart failure & shock w/o CC/MCC,0.7220,3.1,3.7
294,No,No,05,MED,Deep vein thrombophlebitis w CC/MCC,0.9595,4.6,5.5
295,No,No,05,MED,Deep vein thrombophlebitis w/o CC/MCC,0.6408,3.7,4.3
296,No,No,05,MED,"Cardiac arrest, unexplained w MCC",1.1947,2.0,3.1
297,No,No,05,MED,"Cardiac arrest, unexplained w CC",0.6476,1.4,1.8
298,No,No,05,MED,"Cardiac arrest, unexplained w/o CC/MCC",0.4447,1.1,1.3
299,Yes,No,05,MED,Peripheral vascular disorders w MCC,1.4370,5.0,6.7
300,Yes,No,05,MED,Peripheral vascular disorders w CC,0.9286,4.1,5.0
301,Yes,No,05,MED,Peripheral vascular disorders w/o CC/MCC,0.6606,3.0,3.7
302,No,No,05,MED,Atherosclerosis w MCC,1.0294,3.2,4.4
303,No,No,05,MED,Atherosclerosis w/o MCC,0.5668,2.0,2.5
304,No,No,05,MED,Hypertension w MCC,1.0865,3.9,5.2
305,No,No,05,MED,Hypertension w/o MCC,0.5918,2.3,2.9
306,No,No,05,MED,Cardiac congenital & valvular disorders w MCC,1.5703,4.4,6.3
307,No,No,05,MED,Cardiac congenital & valvular disorders w/o MCC,0.7502,2.7,3.5
308,No,No,05,MED,Cardiac arrhythmia & conduction disorders w MCC,1.2992,4.1,5.5
309,No,No,05,MED,Cardiac arrhythmia & conduction disorders w CC,0.8336,3.1,3.9
310,No,No,05,MED,Cardiac arrhythmia & conduction disorders w/o CC/MCC,0.5843,2.3,2.8
311,No,No,05,MED,Angina pectoris,0.4972,1.9,2.3
312,No,No,05,MED,Syncope & collapse,0.7097,2.5,3.1
313,No,No,05,MED,Chest pain,0.5314,1.7,2.1
314,Yes,No,05,MED,Other circulatory system diagnoses w MCC,1.7552,5.0,7.0
315,Yes,No,05,MED,Other circulatory system diagnoses w CC,0.9936,3.5,4.6
316,Yes,No,05,MED,Other circulatory system diagnoses w/o CC/MCC,0.6528,2.4,3.0
326,Yes,No,06,SURG,"Stomach, esophageal & duodenal proc w MCC",5.7896,13.2,17.1
327,Yes,No,06,SURG,"Stomach, esophageal & duodenal proc w CC",2.8363,7.8,10.0
328,Yes,No,06,SURG,"Stomach, esophageal & duodenal proc w/o CC/MCC",1.4530,3.2,4.4
329,Yes,No,06,SURG,Major small & large bowel procedures w MCC,5.1666,12.8,16.0
330,Yes,No,06,SURG,Major small & large bowel procedures w CC,2.5589,8.3,9.7
331,Yes,No,06,SURG,Major small & large bowel procedures w/o CC/MCC,1.6224,5.2,5.9
332,Yes,No,06,SURG,Rectal resection w MCC,4.5243,12.0,14.4
333,Yes,No,06,SURG,Rectal resection w CC,2.4452,7.7,8.8
334,Yes,No,06,SURG,Rectal resection w/o CC/MCC,1.6221,4.7,5.5
335,Yes,No,06,SURG,Peritoneal adhesiolysis w MCC,4.0868,11.6,14.1
336,Yes,No,06,SURG,Peritoneal adhesiolysis w CC,2.2369,7.5,9.1
337,Yes,No,06,SURG,Peritoneal adhesiolysis w/o CC/MCC,1.4517,4.4,5.6
338,No,No,06,SURG,Appendectomy w complicated principal diag w MCC,3.1760,8.8,10.7
339,No,No,06,SURG,Appendectomy w complicated principal diag w CC,1.8564,6.0,7.0
340,No,No,06,SURG,Appendectomy w complicated principal diag w/o CC/MCC,1.2259,3.5,4.2
341,No,No,06,SURG,Appendectomy w/o complicated principal diag w MCC,2.1598,5.3,7.1
342,No,No,06,SURG,Appendectomy w/o complicated principal diag w CC,1.3098,3.2,4.1
343,No,No,06,SURG,Appendectomy w/o complicated principal diag w/o CC/MCC,0.9042,1.8,2.2
344,No,No,06,SURG,Minor small & large bowel procedures w MCC,3.0672,9.2,11.7
345,No,No,06,SURG,Minor small & large bowel procedures w CC,1.6346,6.1,7.2
346,No,No,06,SURG,Minor small & large bowel procedures w/o CC/MCC,1.1881,4.4,4.9
347,No,No,06,SURG,Anal & stomal procedures w MCC,2.2047,6.5,8.8
348,No,No,06,SURG,Anal & stomal procedures w CC,1.2883,4.4,5.7
349,No,No,06,SURG,Anal & stomal procedures w/o CC/MCC,0.7679,2.4,3.1
350,No,No,06,SURG,Inguinal & femoral hernia procedures w MCC,2.2608,5.8,8.0
351,No,No,06,SURG,Inguinal & femoral hernia procedures w CC,1.2597,3.4,4.5
352,No,No,06,SURG,Inguinal & femoral hernia procedures w/o CC/MCC,0.8117,2.0,2.5
353,No,No,06,SURG,Hernia procedures except inguinal & femoral w MCC,2.4859,6.4,8.4
354,No,No,06,SURG,Hernia procedures except inguinal & femoral w CC,1.4020,4.0,5.1
355,No,No,06,SURG,Hernia procedures except inguinal & femoral w/o CC/MCC,0.9648,2.4,2.9
356,Yes,No,06,SURG,Other digestive system O.R. procedures w MCC,3.8569,9.5,12.9
357,Yes,No,06,SURG,Other digestive system O.R. procedures w CC,2.1709,6.2,8.1
358,Yes,No,06,SURG,Other digestive system O.R. procedures w/o CC/MCC,1.3474,3.3,4.5
368,No,No,06,MED,Major esophageal disorders w MCC,1.6289,5.1,6.6
369,No,No,06,MED,Major esophageal disorders w CC,1.0715,3.8,4.8
370,No,No,06,MED,Major esophageal disorders w/o CC/MCC,0.7819,2.8,3.4
371,Yes,No,06,MED,Major gastrointestinal disorders & peritoneal infections w MCC,1.9136,6.7,8.7
372,Yes,No,06,MED,Major gastrointestinal disorders & peritoneal infections w CC,1.3072,5.6,6.8
373,Yes,No,06,MED,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC,0.8684,4.2,4.9
374,Yes,No,06,MED,Digestive malignancy w MCC,1.9075,6.3,8.6
375,Yes,No,06,MED,Digestive malignancy w CC,1.2543,4.5,6.0
376,Yes,No,06,MED,Digestive malignancy w/o CC/MCC,0.8820,3.2,4.2
377,Yes,No,06,MED,G.I. hemorrhage w MCC,1.6073,4.9,6.4
378,Yes,No,06,MED,G.I. hemorrhage w CC,1.0043,3.7,4.4
379,Yes,No,06,MED,G.I. hemorrhage w/o CC/MCC,0.7565,2.9,3.4
380,Yes,No,06,MED,Complicated peptic ulcer w MCC,1.8006,5.6,7.3
381,Yes,No,06,MED,Complicated peptic ulcer w CC,1.1137,4.2,5.2
382,Yes,No,06,MED,Complicated peptic ulcer w/o CC/MCC,0.8218,3.1,3.7
383,No,No,06,MED,Uncomplicated peptic ulcer w MCC,1.1744,4.4,5.5
384,No,No,06,MED,Uncomplicated peptic ulcer w/o MCC,0.7838,3.1,3.8
385,No,No,06,MED,Inflammatory bowel disease w MCC,1.8568,6.5,8.8
386,No,No,06,MED,Inflammatory bowel disease w CC,1.0616,4.5,5.7
387,No,No,06,MED,Inflammatory bowel disease w/o CC/MCC,0.7786,3.5,4.3
388,Yes,No,06,MED,G.I. obstruction w MCC,1.5408,5.4,7.3
